track_id,fold,gt_median_ibi,pred_median_ibi,acf_period,ibi_ratio,detected_error,orig_F,corrected_F,delta_F,subsample_F,interpolate_F,oracle_F,oracle_choice,orig_CMLt,orig_AMLt
smc_265,6,0.392,0.38,0.36,1.0556,correct,0.8176,0.8176,0.0,0.5289,0.5812,0.8176,original,0.6905,0.6905
smc_266,5,1.2575,1.04,1.26,0.8254,correct,0.6349,0.6349,0.0,0.4348,0.4124,0.6349,original,0.5143,0.5143
smc_269,5,1.102,1.12,1.18,0.9492,correct,0.8571,0.8571,0.0,0.5106,0.5895,0.8571,original,0.8438,0.8438
smc_271,1,0.5815,0.58,0.58,1.0,correct,1.0,1.0,0.0,0.6667,0.6667,1.0,original,1.0,1.0
smc_272,7,0.29,0.58,0.58,1.0,correct,0.6409,0.6409,0.0,0.3867,0.9544,0.9544,interpolate,0.0,0.5246
smc_273,3,0.6269,0.62,1.26,0.4921,double,1.0,0.6667,-0.3333,0.6667,0.6667,1.0,original,1.0,1.0
smc_274,0,0.42,0.42,0.42,1.0,correct,0.0,0.0,0.0,0.0,0.6667,0.6667,interpolate,0.0,0.988
smc_275,5,1.5,0.5,0.5,1.0,correct,0.4946,0.4946,0.0,0.3793,0.2822,0.4946,original,0.0,0.0
smc_276,1,0.319,0.64,0.64,1.0,correct,0.6667,0.6667,0.0,0.4058,0.9954,0.9954,interpolate,0.0,1.0
smc_277,5,1.144,0.42,1.14,0.3684,other,0.5636,0.5636,0.0,0.3714,0.3298,0.5636,original,0.0,0.4684
smc_278,6,0.5739,0.58,0.58,1.0,correct,1.0,1.0,0.0,0.6667,0.6667,1.0,original,1.0,1.0
smc_279,4,0.576,0.58,0.58,1.0,correct,1.0,1.0,0.0,0.6739,0.6703,1.0,original,1.0,1.0
smc_280,6,0.704,0.7,0.7,1.0,correct,1.0,1.0,0.0,0.6667,0.6711,1.0,original,1.0,1.0
smc_281,4,0.641,0.64,0.64,1.0,correct,1.0,1.0,0.0,0.6667,0.6667,1.0,original,1.0,1.0
smc_282,5,0.6385,0.64,0.64,1.0,correct,0.9818,0.9818,0.0,0.6506,0.6545,0.9818,original,0.9636,0.9636
smc_283,2,0.704,0.7,0.7,1.0,correct,0.8696,0.8696,0.0,0.561,0.5587,0.8696,original,0.5538,0.5538
smc_284,6,0.6,0.6,0.6,1.0,correct,1.0,1.0,0.0,0.6667,0.6667,1.0,original,1.0,1.0
smc_285,7,0.5,0.5,1.0,0.5,double,0.3537,0.1852,-0.1686,0.1852,0.5804,0.5804,interpolate,0.1429,0.4675
smc_286,0,0.682,0.68,0.68,1.0,correct,1.0,1.0,0.0,0.6667,0.671,1.0,original,1.0,1.0
smc_287,6,0.59,0.58,1.18,0.4915,double,1.0,0.6667,-0.3333,0.6667,0.6704,1.0,original,0.9833,0.9833
smc_288,4,0.592,0.6,0.6,1.0,correct,0.9915,0.9915,0.0,0.6591,0.6667,0.9915,original,0.9831,0.9831
smc_289,0,0.6009,0.6,0.6,1.0,correct,1.0,1.0,0.0,0.6667,0.6705,1.0,original,1.0,1.0
